City,Zip Code,County
Hammonton,08037,Atlantic
Absecon,08201,Atlantic
Brigantine,08203,Atlantic
Absecon,08205,Atlantic
Cologne,08213,Atlantic
Egg Harbor City,08215,Atlantic
Elwood,08217,Atlantic
Leeds Point,08220,Atlantic
Linwood,08221,Atlantic
Northfield,08225,Atlantic
Oceanville,08231,Atlantic
Pleasantville,08232,Atlantic
Egg Harbor Township,08234,Atlantic
Pomona,08240,Atlantic
Port Republic,08241,Atlantic
Somers Point,08244,Atlantic
Buena,08310,Atlantic
Dorothy,08317,Atlantic
Estell Manor,08319,Atlantic
Landisville,08326,Atlantic
Mays Landing,08330,Atlantic
Milmay,08340,Atlantic
Minotola,08341,Atlantic
Mizpah,08342,Atlantic
Newtonville,08346,Atlantic
Richland,08350,Atlantic
Atlantic City,08401,Atlantic
Margate City,08402,Atlantic
Longport,08403,Atlantic
Atlantic City,08404,Atlantic
Atlantic City,08405,Atlantic
Ventnor City,08406,Atlantic
Cliffside Park,07010,Bergen
Edgewater,07020,Bergen
Fairview,07022,Bergen
Fort Lee,07024,Bergen
Garfield,07026,Bergen
North Arlington,07031,Bergen
Wallington,07057,Bergen
Rutherford,07070,Bergen
Lyndhurst,07071,Bergen
Carlstadt,07072,Bergen
East Rutherford,07073,Bergen
Moonachie,07074,Bergen
Wood Ridge,07075,Bergen
Allendale,07401,Bergen
Elmwood Park,07407,Bergen
Fair Lawn,07410,Bergen
Franklin Lakes,07417,Bergen
Ho Ho Kus,07423,Bergen
Mahwah,07430,Bergen
Midland Park,07432,Bergen
Oakland,07436,Bergen
Ramsey,07446,Bergen
Ridgewood,07450,Bergen
Ridgewood,07451,Bergen
Glen Rock,07452,Bergen
Saddle River,07458,Bergen
Waldwick,07463,Bergen
Wyckoff,07481,Bergen
Mahwah,07495,Bergen
Hackensack,07601,Bergen
Hackensack,07602,Bergen
Bogota,07603,Bergen
Hasbrouck Heights,07604,Bergen
Leonia,07605,Bergen
South Hackensack,07606,Bergen
Maywood,07607,Bergen
Teterboro,07608,Bergen
Alpine,07620,Bergen
Bergenfield,07621,Bergen
Closter,07624,Bergen
Cresskill,07626,Bergen
Demarest,07627,Bergen
Dumont,07628,Bergen
Emerson,07630,Bergen
Englewood,07631,Bergen
Englewood Cliffs,07632,Bergen
Harrington Park,07640,Bergen
Haworth,07641,Bergen
Hillsdale,07642,Bergen
Little Ferry,07643,Bergen
Lodi,07644,Bergen
Montvale,07645,Bergen
New Milford,07646,Bergen
Northvale,07647,Bergen
Norwood,07648,Bergen
Oradell,07649,Bergen
Palisades Park,07650,Bergen
Paramus,07652,Bergen
Paramus,07653,Bergen
Park Ridge,07656,Bergen
Ridgefield,07657,Bergen
Ridgefield Park,07660,Bergen
River Edge,07661,Bergen
Rochelle Park,07662,Bergen
Saddle Brook,07663,Bergen
Teaneck,07666,Bergen
Tenafly,07670,Bergen
Westwood,07675,Bergen
Township Of Washington,07676,Bergen
Woodcliff Lake,07677,Bergen
Teterboro,07699,Bergen
Beverly,08010,Burlington
Birmingham,08011,Burlington
Browns Mills,08015,Burlington
Burlington,08016,Burlington
Chatsworth,08019,Burlington
Columbus,08022,Burlington
Hainesport,08036,Burlington
Jobstown,08041,Burlington
Juliustown,08042,Burlington
Willingboro,08046,Burlington
Lumberton,08048,Burlington
Maple Shade,08052,Burlington
Marlton,08053,Burlington
Mount Laurel,08054,Burlington
Medford,08055,Burlington
Moorestown,08057,Burlington
Mount Holly,08060,Burlington
New Lisbon,08064,Burlington
Palmyra,08065,Burlington
Pemberton,08068,Burlington
Rancocas,08073,Burlington
Riverside,08075,Burlington
Riverton,08076,Burlington
Riverton,08077,Burlington
Vincentown,08088,Burlington
New Gretna,08224,Burlington
Bordentown,08505,Burlington
Cookstown,08511,Burlington
Chesterfield,08515,Burlington
Florence,08518,Burlington
Roebling,08554,Burlington
Wrightstown,08562,Burlington
Fort Dix,08640,Burlington
Trenton,08641,Burlington
Cherry Hill,08002,Camden
Cherry Hill,08003,Camden
Atco,08004,Camden
Barrington,08007,Camden
Berlin,08009,Camden
Blackwood,08012,Camden
Cedar Brook,08018,Camden
Clementon,08021,Camden
Gibbsboro,08026,Camden
Glendora,08029,Camden
Gloucester City,08030,Camden
Bellmawr,08031,Camden
Haddonfield,08033,Camden
Cherry Hill,08034,Camden
Haddon Heights,08035,Camden
Voorhees,08043,Camden
Lawnside,08045,Camden
Magnolia,08049,Camden
Mount Ephraim,08059,Camden
Runnemede,08078,Camden
Sicklerville,08081,Camden
Somerdale,08083,Camden
Stratford,08084,Camden
Waterford Works,08089,Camden
West Berlin,08091,Camden
Winslow,08095,Camden
Bellmawr,08099,Camden
Camden,08101,Camden
Camden,08102,Camden
Camden,08103,Camden
Camden,08104,Camden
Haddon Township,08104,Camden
Camden,08105,Camden
Audubon,08106,Camden
Haddon Township,08107,Camden
Oaklyn,08107,Camden
Collingswood,08108,Camden
Haddon Township,08108,Camden
Merchantville,08109,Camden
Pennsauken,08110,Camden
Avalon,08202,Cape May
Cape May,08204,Cape May
Cape May Court House,08210,Cape May
Cape May Point,08212,Cape May
Dennisville,08214,Cape May
Goshen,08218,Cape May
Green Creek,08219,Cape May
Marmora,08223,Cape May
Ocean City,08226,Cape May
Ocean View,08230,Cape May
Rio Grande,08242,Cape May
Sea Isle City,08243,Cape May
South Dennis,08245,Cape May
South Seaville,08246,Cape May
Stone Harbor,08247,Cape May
Strathmere,08248,Cape May
Tuckahoe,08250,Cape May
Villas,08251,Cape May
Whitesboro,08252,Cape May
Wildwood,08260,Cape May
Woodbine,08270,Cape May
Bridgeton,08302,Cumberland
Cedarville,08311,Cumberland
Deerfield Street,08313,Cumberland
Delmont,08314,Cumberland
Dividing Creek,08315,Cumberland
Dorchester,08316,Cumberland
Fairton,08320,Cumberland
Fortescue,08321,Cumberland
Greenwich,08323,Cumberland
Heislerville,08324,Cumberland
Leesburg,08327,Cumberland
Mauricetown,08329,Cumberland
Millville,08332,Cumberland
Newport,08345,Cumberland
Port Elizabeth,08348,Cumberland
Port Norris,08349,Cumberland
Rosenhayn,08352,Cumberland
Shiloh,08353,Cumberland
Vineland,08360,Cumberland
Vineland,08361,Cumberland
Vineland,08362,Cumberland
Bloomfield,07003,Essex
Fairfield,07004,Essex
Caldwell,07006,Essex
Caldwell,07007,Essex
Cedar Grove,07009,Essex
East Orange,07017,Essex
East Orange,07018,Essex
East Orange,07019,Essex
Essex Fells,07021,Essex
Glen Ridge,07028,Essex
Livingston,07039,Essex
Maplewood,07040,Essex
Millburn,07041,Essex
Montclair,07042,Essex
Montclair,07043,Essex
Verona,07044,Essex
Orange,07050,Essex
Orange,07051,Essex
West Orange,07052,Essex
Roseland,07068,Essex
Short Hills,07078,Essex
South Orange,07079,Essex
Newark,07101,Essex
Newark,07102,Essex
Newark,07103,Essex
Newark,07104,Essex
Newark,07105,Essex
Newark,07106,Essex
Newark,07107,Essex
Newark,07108,Essex
Belleville,07109,Essex
Nutley,07110,Essex
Irvington,07111,Essex
Newark,07112,Essex
Newark,07114,Essex
Newark,07175,Essex
Newark,07182,Essex
Newark,07184,Essex
Newark,07188,Essex
Newark,07189,Essex
Newark,07191,Essex
Newark,07192,Essex
Newark,07193,Essex
Newark,07194,Essex
Newark,07195,Essex
Newark,07198,Essex
Newark,07199,Essex
Bridgeport,08014,Gloucester
Clarksboro,08020,Gloucester
Ewan,08025,Gloucester
Gibbstown,08027,Gloucester
Glassboro,08028,Gloucester
Grenloch,08032,Gloucester
Harrisonville,08039,Gloucester
Mantua,08051,Gloucester
Mickleton,08056,Gloucester
Mount Royal,08061,Gloucester
Mullica Hill,08062,Gloucester
National Park,08063,Gloucester
Paulsboro,08066,Gloucester
Pitman,08071,Gloucester
Richwood,08074,Gloucester
Sewell,08080,Gloucester
Swedesboro,08085,Gloucester
Thorofare,08086,Gloucester
Wenonah,08090,Gloucester
Westville,08093,Gloucester
Williamstown,08094,Gloucester
Deptford,08096,Gloucester
Woodbury,08096,Gloucester
Woodbury Heights,08097,Gloucester
Clayton,08312,Gloucester
Franklinville,08322,Gloucester
Malaga,08328,Gloucester
Newfield,08344,Gloucester
Bayonne,07002,Hudson
Harrison,07029,Hudson
Hoboken,07030,Hudson
Kearny,07032,Hudson
North Bergen,07047,Hudson
Weehawken,07086,Hudson
Union City,07087,Hudson
West New York,07093,Hudson
Secaucus,07094,Hudson
Secaucus,07096,Hudson
Jersey City,07097,Hudson
Kearny,07099,Hudson
Jersey City,07302,Hudson
Jersey City,07303,Hudson
Jersey City,07304,Hudson
Jersey City,07305,Hudson
Jersey City,07306,Hudson
Jersey City,07307,Hudson
Jersey City,07308,Hudson
Jersey City,07309,Hudson
Jersey City,07310,Hudson
Jersey City,07311,Hudson
Jersey City,07395,Hudson
Jersey City,07399,Hudson
Califon,07830,Hunterdon
Pottersville,07979,Hunterdon
Lambertville,08530,Hunterdon
Ringoes,08551,Hunterdon
Rosemont,08556,Hunterdon
Sergeantsville,08557,Hunterdon
Stockton,08559,Hunterdon
Annandale,08801,Hunterdon
Asbury,08802,Hunterdon
Baptistown,08803,Hunterdon
Bloomsbury,08804,Hunterdon
Clinton,08809,Hunterdon
Flemington,08822,Hunterdon
Frenchtown,08825,Hunterdon
Glen Gardner,08826,Hunterdon
Hampton,08827,Hunterdon
High Bridge,08829,Hunterdon
Lebanon,08833,Hunterdon
Little York,08834,Hunterdon
Milford,08848,Hunterdon
Oldwick,08858,Hunterdon
Pittstown,08867,Hunterdon
Quakertown,08868,Hunterdon
Readington,08870,Hunterdon
Stanton,08885,Hunterdon
Three Bridges,08887,Hunterdon
Whitehouse,08888,Hunterdon
Whitehouse Station,08889,Hunterdon
Hightstown,08520,Mercer
Hopewell,08525,Mercer
Pennington,08534,Mercer
Princeton,08540,Mercer
Princeton,08541,Mercer
Princeton,08542,Mercer
Princeton,08543,Mercer
Princeton,08544,Mercer
Princeton Junction,08550,Mercer
Titusville,08560,Mercer
Windsor,08561,Mercer
Trenton,08601,Mercer
Trenton,08602,Mercer
Trenton,08603,Mercer
Trenton,08604,Mercer
Trenton,08605,Mercer
Trenton,08606,Mercer
Trenton,08607,Mercer
Trenton,08608,Mercer
Trenton,08609,Mercer
Trenton,08610,Mercer
Trenton,08611,Mercer
Trenton,08618,Mercer
Trenton,08619,Mercer
Trenton,08620,Mercer
Trenton,08625,Mercer
Trenton,08628,Mercer
Trenton,08629,Mercer
Trenton,08638,Mercer
Trenton,08645,Mercer
Trenton,08646,Mercer
Trenton,08647,Mercer
Trenton,08648,Mercer
Trenton,08650,Mercer
Trenton,08666,Mercer
Trenton,08677,Mercer
Trenton,08690,Mercer
Trenton,08691,Mercer
Trenton,08695,Mercer
Avenel,07001,Middlesex
Carteret,07008,Middlesex
Port Reading,07064,Middlesex
Colonia,07067,Middlesex
Sewaren,07077,Middlesex
South Plainfield,07080,Middlesex
Woodbridge,07095,Middlesex
Cranbury,08512,Middlesex
Plainsboro,08536,Middlesex
Dayton,08810,Middlesex
Dunellen,08812,Middlesex
East Brunswick,08816,Middlesex
Edison,08817,Middlesex
Edison,08818,Middlesex
Edison,08820,Middlesex
Kendall Park,08824,Middlesex
Helmetta,08828,Middlesex
Iselin,08830,Middlesex
Monroe Township,08831,Middlesex
Keasbey,08832,Middlesex
Edison,08837,Middlesex
Metuchen,08840,Middlesex
Middlesex,08846,Middlesex
Milltown,08850,Middlesex
Monmouth Junction,08852,Middlesex
Piscataway,08854,Middlesex
Piscataway,08855,Middlesex
Old Bridge,08857,Middlesex
Parlin,08859,Middlesex
Perth Amboy,08861,Middlesex
Perth Amboy,08862,Middlesex
Fords,08863,Middlesex
Sayreville,08871,Middlesex
Sayreville,08872,Middlesex
South Amboy,08879,Middlesex
South River,08882,Middlesex
Spotswood,08884,Middlesex
Edison,08899,Middlesex
New Brunswick,08901,Middlesex
North Brunswick,08902,Middlesex
New Brunswick,08903,Middlesex
Highland Park,08904,Middlesex
New Brunswick,08905,Middlesex
New Brunswick,08906,Middlesex
New Brunswick,08922,Middlesex
New Brunswick,08933,Middlesex
New Brunswick,08988,Middlesex
New Brunswick,08989,Middlesex
Red Bank,07701,Monmouth
Shrewsbury,07702,Monmouth
Fort Monmouth,07703,Monmouth
Fair Haven,07704,Monmouth
Red Bank,07709,Monmouth
Adelphia,07710,Monmouth
Allenhurst,07711,Monmouth
Asbury Park,07712,Monmouth
Belmar,07715,Monmouth
Atlantic Highlands,07716,Monmouth
Avon By The Sea,07717,Monmouth
Belford,07718,Monmouth
Belmar,07719,Monmouth
Bradley Beach,07720,Monmouth
Cliffwood,07721,Monmouth
Colts Neck,07722,Monmouth
Deal,07723,Monmouth
Eatontown,07724,Monmouth
Englishtown,07726,Monmouth
Farmingdale,07727,Monmouth
Freehold,07728,Monmouth
Hazlet,07730,Monmouth
Howell,07731,Monmouth
Highlands,07732,Monmouth
Holmdel,07733,Monmouth
Keansburg,07734,Monmouth
Keyport,07735,Monmouth
Leonardo,07737,Monmouth
Lincroft,07738,Monmouth
Little Silver,07739,Monmouth
Long Branch,07740,Monmouth
Marlboro,07746,Monmouth
Matawan,07747,Monmouth
Middletown,07748,Monmouth
Monmouth Beach,07750,Monmouth
Morganville,07751,Monmouth
Navesink,07752,Monmouth
Neptune,07753,Monmouth
Neptune,07754,Monmouth
Oakhurst,07755,Monmouth
Ocean Grove,07756,Monmouth
Oceanport,07757,Monmouth
Port Monmouth,07758,Monmouth
Rumson,07760,Monmouth
Spring Lake,07762,Monmouth
Tennent,07763,Monmouth
West Long Branch,07764,Monmouth
Wickatunk,07765,Monmouth
Holmdel,07777,Monmouth
Eatontown,07799,Monmouth
Allentown,08501,Monmouth
Millstone Township,08510,Monmouth
Cream Ridge,08514,Monmouth
Imlaystown,08526,Monmouth
Perrineville,08535,Monmouth
Roosevelt,08555,Monmouth
Allenwood,08720,Monmouth
Brielle,08730,Monmouth
Manasquan,08736,Monmouth
Sea Girt,08750,Monmouth
Boonton,07005,Morris
Lake Hiawatha,07034,Morris
Lincoln Park,07035,Morris
Mt Olive,07828,Morris
Mount Olive,07828,Morris
Montville,07045,Morris
Mountain Lakes,07046,Morris
Parsippany,07054,Morris
Pine Brook,07058,Morris
Towaco,07082,Morris
Butler,07405,Morris
Pequannock,07440,Morris
Pompton Plains,07444,Morris
Riverdale,07457,Morris
Dover,07801,Morris
Dover,07802,Morris
Mine Hill,07803,Morris
Picatinny Arsenal,07806,Morris
Budd Lake,07828,Morris
Denville,07834,Morris
Flanders,07836,Morris
Hibernia,07842,Morris
Ironia,07845,Morris
Kenvil,07847,Morris
Lake Hopatcong,07849,Morris
Landing,07850,Morris
Ledgewood,07852,Morris
Long Valley,07853,Morris
Mount Arlington,07856,Morris
Netcong,07857,Morris
Rockaway,07866,Morris
Randolph,07869,Morris
Schooleys Mountain,07870,Morris
Succasunna,07876,Morris
Mount Tabor,07878,Morris
Wharton,07885,Morris
Brookside,07926,Morris
Cedar Knolls,07927,Morris
Chatham,07928,Morris
Chester,07930,Morris
Florham Park,07932,Morris
Gillette,07933,Morris
Green Village,07935,Morris
Roxbury,07852,Morris
Jefferson,07435,Morris
Hanover,07927,Morris
Victory Gardens,07801,Morris
Kinnelon,07405,Morris
Harding,07976,Morris
Long Hill,07933,Morris
East Hanover,07936,Morris
Madison,07940,Morris
Mendham,07945,Morris
Millington,07946,Morris
Greystone Park,07950,Morris
Morris,07960,Morris
Morris Twp,07960,Morris
Morris Plains,07950,Morris
Morristown,07960,Morris
Morristown,07961,Morris
Morristown,07962,Morris
Morristown,07963,Morris
Mount Freedom,07970,Morris
New Vernon,07976,Morris
Stirling,07980,Morris
Whippany,07981,Morris
Whippany,07983,Morris
Whippany,07999,Morris
Barnegat,08005,Ocean
Barnegat Light,08006,Ocean
Beach Haven,08008,Ocean
Manahawkin,08050,Ocean
Tuckerton,08087,Ocean
West Creek,08092,Ocean
Jackson,08527,Ocean
New Egypt,08533,Ocean
Lakewood,08701,Ocean
Bayville,08721,Ocean
Beachwood,08722,Ocean
Brick,08723,Ocean
Brick,08724,Ocean
Forked River,08731,Ocean
Island Heights,08732,Ocean
Lakehurst,08733,Ocean
Lanoka Harbor,08734,Ocean
Lavallette,08735,Ocean
Mantoloking,08738,Ocean
Normandy Beach,08739,Ocean
Ocean Gate,08740,Ocean
Pine Beach,08741,Ocean
Point Pleasant Beach,08742,Ocean
Seaside Heights,08751,Ocean
Seaside Park,08752,Ocean
Toms River,08753,Ocean
Toms River,08754,Ocean
Toms River,08755,Ocean
Toms River,08756,Ocean
Toms River,08757,Ocean
Waretown,08758,Ocean
Manchester Township,08759,Ocean
Clifton,07011,Passaic
Clifton,07012,Passaic
Clifton,07013,Passaic
Clifton,07014,Passaic
Clifton,07015,Passaic
Passaic,07055,Passaic
Bloomingdale,07403,Passaic
Haskell,07420,Passaic
Hewitt,07421,Passaic
Little Falls,07424,Passaic
Newfoundland,07435,Passaic
Oak Ridge,07438,Passaic
Pompton Lakes,07442,Passaic
Ringwood,07456,Passaic
Wanaque,07465,Passaic
Wayne,07470,Passaic
Wayne,07474,Passaic
Wayne,07477,Passaic
West Milford,07480,Passaic
Paterson,07501,Passaic
Paterson,07502,Passaic
Paterson,07503,Passaic
Paterson,07504,Passaic
Paterson,07505,Passaic
Hawthorne,07506,Passaic
Hawthorne,07507,Passaic
Haledon,07508,Passaic
Paterson,07509,Passaic
Paterson,07510,Passaic
Totowa,07511,Passaic
Totowa,07512,Passaic
Paterson,07513,Passaic
Paterson,07514,Passaic
Paterson,07522,Passaic
Paterson,07524,Passaic
Paterson,07533,Passaic
Haledon,07538,Passaic
Paterson,07543,Passaic
Paterson,07544,Passaic
Alloway,08001,Salem
Deepwater,08023,Salem
Hancocks Bridge,08038,Salem
Pedricktown,08067,Salem
Penns Grove,08069,Salem
Pennsville,08070,Salem
Quinton,08072,Salem
Salem,08079,Salem
Woodstown,08098,Salem
Elmer,08318,Salem
Monroeville,08343,Salem
Norma,08347,Salem
Warren,07059,Somerset
Watchung,07069,Somerset
Basking Ridge,07920,Somerset
Bedminster,07921,Somerset
Bernardsville,07924,Somerset
Far Hills,07931,Somerset
Gladstone,07934,Somerset
Liberty Corner,07938,Somerset
Lyons,07939,Somerset
Peapack,07977,Somerset
Pluckemin,07978,Somerset
Belle Mead,08502,Somerset
Blawenburg,08504,Somerset
Kingston,08528,Somerset
Rocky Hill,08553,Somerset
Skillman,08558,Somerset
Bound Brook,08805,Somerset
Bridgewater,08807,Somerset
Flagtown,08821,Somerset
Franklin Park,08823,Somerset
Manville,08835,Somerset
Martinsville,08836,Somerset
Hillsborough,08844,Somerset
Neshanic Station,08853,Somerset
Raritan,08869,Somerset
Somerset,08873,Somerset
Somerset,08875,Somerset
Somerville,08876,Somerset
South Bound Brook,08880,Somerset
Zarephath,08890,Somerset
Raritan,08896,Somerset
Franklin,07416,Sussex
Glenwood,07418,Sussex
Hamburg,07419,Sussex
Highland Lakes,07422,Sussex
Mc Afee,07428,Sussex
Ogdensburg,07439,Sussex
Stockholm,07460,Sussex
Sussex,07461,Sussex
Vernon,07462,Sussex
Andover,07821,Sussex
Augusta,07822,Sussex
Branchville,07826,Sussex
Montague,07827,Sussex
Glasser,07837,Sussex
Greendell,07839,Sussex
Hopatcong,07843,Sussex
Lafayette,07848,Sussex
Layton,07851,Sussex
Middleville,07855,Sussex
Newton,07860,Sussex
Sparta,07871,Sussex
Stanhope,07874,Sussex
Stillwater,07875,Sussex
Swartswood,07877,Sussex
Tranquility,07879,Sussex
Wallpack Center,07881,Sussex
Branchville,07890,Sussex
Cranford,07016,Union
Fanwood,07023,Union
Garwood,07027,Union
Kenilworth,07033,Union
Linden,07036,Union
Plainfield,07060,Union
Plainfield,07061,Union
Plainfield,07062,Union
Plainfield,07063,Union
Rahway,07065,Union
Clark,07066,Union
Scotch Plains,07076,Union
Springfield,07081,Union
Union,07083,Union
Vauxhall,07088,Union
Westfield,07090,Union
Westfield,07091,Union
Mountainside,07092,Union
Elizabeth,07201,Union
Elizabeth,07202,Union
Roselle,07203,Union
Roselle Park,07204,Union
Hillside,07205,Union
Elizabeth,07206,Union
Elizabeth,07207,Union
Elizabeth,07208,Union
Summit,07901,Union
Summit,07902,Union
Berkeley Heights,07922,Union
New Providence,07974,Union
Allamuchy,07820,Warren
Belvidere,07823,Warren
Blairstown,07825,Warren
Buttzville,07829,Warren
Changewater,07831,Warren
Columbia,07832,Warren
Delaware,07833,Warren
Great Meadows,07838,Warren
Hackettstown,07840,Warren
Hope,07844,Warren
Johnsonburg,07846,Warren
Oxford,07863,Warren
Port Murray,07865,Warren
Vienna,07880,Warren
Washington,07882,Warren
Broadway,08808,Warren
Phillipsburg,08865,Warren
Stewartsville,08886,Warren
